fyearq,fqtr,prccq_sd_dif,prccq_sd_yoy,prccq_vwmean_dif,prccq_mean_dif,prccq_vwmean_yoy,prccq_mean_yoy,prchq_sd_dif,prchq_sd_yoy,prchq_vwmean_dif,prchq_mean_dif,prchq_vwmean_yoy,prchq_mean_yoy,prclq_sd_dif,prclq_sd_yoy,prclq_vwmean_dif,prclq_mean_dif,prclq_vwmean_yoy,prclq_mean_yoy
1989,1.0,,,0.0,,0.0,,,,0.0,,0.0,,,,0.0,,0.0,
1989,2.0,19.519144912411843,,1.688910370214726,0.38072397815459685,0.0,,25.865517070529457,,4.15305794593618,0.9839160053574406,0.0,,5.052074390397384,,1.3019439932721701,0.4218018915299626,0.0,
1989,3.0,31.304589518154792,,3.9158366547238757,0.20642768088261704,0.0,,22.71047346409982,,4.889874248459426,0.8917387861466044,0.0,,22.26150932598756,,4.7015533158741265,0.7860881809011446,0.0,
1989,4.0,21.42367950738232,4.969442106887621,-5.525103471236631,-0.8474285152908212,-0.00781982645158204,-1.014078021595263,4.469200442896339,4.4056911624678845,-3.597753646949876,-0.15030390705679847,-0.00529608285005358,-1.4195714285714285,20.290962871369437,3.5083872770425857,-1.6789480196614308,-0.1999168330464717,-0.0037640537419831584,-1.4195714285714285
1990,1.0,31.16722215378039,63.07736951980354,-4.803521295319712,-1.0964437962569369,6.2406835670059335,-1.2981136569193212,6.287999365099076,49.897804881345444,-1.688763845183501,-0.8175088154741528,8.859072841534871,0.9469285247093009,20.12734636242599,28.48028129283173,-3.3898401801490654,-0.8115192571037326,4.946900406436441,0.1818285247093014
1990,2.0,6.999405499335398,64.94504203265166,-3.212774151302248,-0.3821255003800544,-0.7580004645994262,-2.0536490047868816,13.679571745838189,77.4596980183603,-5.962724955807884,-0.6603212798374811,-2.9693040876010035,-1.8404361595114078,3.590205127671597,73.6747296743639,-3.448987070270751,-0.4678635302081562,-1.0260909655987,-1.6497769534758389
1990,3.0,15.746532729327727,54.742876017487376,-7.722689006760914,-1.6947903385664003,-14.898752408814067,-4.058152989909319,15.613608314749316,25.76790398801379,-1.491704281024881,-0.4575737472583099,-8.814982413444373,-2.2111482939158744,14.084663185880975,16.901130173469042,-5.413287324778605,-1.6078301450742265,-10.518279631930763,-3.186311425992779
1990,4.0,11.080984374426333,34.57851257695999,2.612374365443006,0.18771612467180876,-13.139242815115011,-3.036236221689978,7.009718035032695,28.300228646551645,-3.9768198891333917,-1.3502873034859881,-13.376994769727924,-3.6283896092037877,4.728131899404351,32.36406915398321,-0.3984006390263999,-0.6232737696514012,-13.372409928365407,-3.644023648648637
1991,1.0,16.68098878618906,20.865424008725615,7.704715088929321,1.0938875056261002,6.134450469569635,-0.9031535249573441,18.368360847764336,8.790027398180463,7.311035978328014,1.3103931140276124,-1.3482519393513626,-1.4061094655389605,9.52753866209433,5.855490931429985,3.417250906440434,0.6511028805181527,-3.0378309281751443,-2.104912142471671
1991,2.0,8.46575795119861,22.527564467356232,-1.99392169927755,0.006518151764520051,5.312983568774069,-0.37691521967869074,7.509127793903968,15.938745429319836,0.48698440153617456,0.5536790862944159,3.921782775969262,-0.17191430357142848,16.186479793652055,16.44344132658124,5.097742496469002,1.287432431060734,3.9016930114795536,-0.30060099982146044
1991,3.0,9.098317129984293,40.92154293593252,1.9225660761563887,0.42542281286514466,15.977435736037323,1.9462246566824317,6.4887829056898125,23.701206699915478,0.511420621157431,0.44123001010441276,5.895018124717301,0.9715784387281159,8.320547101496548,37.48024182068937,1.5592671743523878,0.3848241118033337,11.40922099629569,1.8113174347981391
1991,4.0,8.029920442236122,35.40765258524699,3.4826551468905644,0.3535269111312787,17.56762673405931,2.2415251001264904,6.281956319954978,30.869494814264854,1.654318934654285,0.5427875759621876,11.40525850899049,2.8397770554147046,3.731237464463321,31.497271219076964,-1.0322980609011465,0.15418479068197177,10.623418185600507,2.5982208982252804
